Orgunit name,MOH 731   Discordant HV01-28,MOH 731   Linked_Total HV01-35,MOH 731   Negative_Total HV01-27,MOH 731   Positive_Total   (Sum  HV01-18 to  HV01-25) HV01-26,MOH 731  Tested_Couples HV01-15,MOH 731  Tested_New HV01-13,MOH 731  Total       HV01-50,Month,Total_tested,Infection_rate
Meru County,0.0,144.0,2793.0,0.0,158.0,1784.0,118.0,6,2793.0,0.0
Migori County,15.0,716.0,20906.0,618.0,0.0,8472.0,110.0,6,21524.0,0.028712135290838135
Mombasa County,28.0,0.0,18472.0,453.0,0.0,0.0,0.0,6,18925.0,0.02393659180977543
Muranga County,8.0,113.0,0.0,77.0,234.0,0.0,208.0,6,77.0,1.0
Nairobi County,0.0,0.0,33977.0,0.0,1846.0,13852.0,0.0,6,33977.0,0.0
Nakuru County,43.0,0.0,0.0,0.0,0.0,0.0,520.0,6,0.0,0.0
Narok County,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0
Nyamira County,0.0,0.0,0.0,155.0,228.0,0.0,0.0,6,155.0,1.0
Nyandarua County,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0
Nyeri County,0.0,119.0,0.0,95.0,344.0,1595.0,10.0,6,95.0,1.0
Samburu County,12.0,0.0,0.0,47.0,38.0,0.0,38.0,6,47.0,1.0
Siaya County,0.0,0.0,16526.0,603.0,0.0,2564.0,361.0,6,17129.0,0.03520345612703602
Taita Taveta County,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0
Tana River County,1.0,0.0,1642.0,0.0,0.0,0.0,56.0,6,1642.0,0.0
Tharaka Nithi County,4.0,0.0,1797.0,0.0,0.0,886.0,0.0,6,1797.0,0.0
Trans Nzoia County,26.0,0.0,3864.0,0.0,188.0,0.0,0.0,6,3864.0,0.0
Turkana County,10.0,148.0,11877.0,140.0,0.0,5564.0,793.0,6,12017.0,0.011650162270117333
Uasin Gishu County,3.0,0.0,4776.0,197.0,0.0,2085.0,0.0,6,4973.0,0.039613915141765536
Vihiga County,5.0,0.0,2560.0,112.0,120.0,1270.0,0.0,6,2672.0,0.041916167664670656
Wajir County,0.0,0.0,938.0,0.0,9.0,638.0,25.0,6,938.0,0.0
West Pokot County,1.0,71.0,0.0,0.0,0.0,0.0,46.0,6,0.0,0.0
Baringo County,7.0,46.0,0.0,72.0,0.0,0.0,0.0,7,72.0,1.0
Bomet County,11.0,0.0,3484.0,107.0,0.0,0.0,111.0,7,3591.0,0.02979671400724032
Bungoma County,16.0,288.0,5254.0,0.0,0.0,3222.0,84.0,7,5254.0,0.0
Busia County,10.0,0.0,0.0,203.0,151.0,1595.0,123.0,7,203.0,1.0
